"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1107","전남광주통합특별시 강진군 성전면 성전리","7**","8m미만","59.50","월세","202411","24","0","150","","시천길","202411~202511","신규","-","","","단독다가구"
"1108","전남광주통합특별시 북구 용봉동","1***","25m미만","32.00","월세","202411","24","200","30","2014","저불로","202411~202511","신규","-","","","단독다가구"
"1109","전남광주통합특별시 서구 내방동","8**","12m미만","38.00","월세","202411","24","300","55","2013","월드컵4강로182번길","202411~202511","신규","-","","","단독다가구"
"1110","전남광주통합특별시 북구 일곡동","3**","12m미만","109.20","월세","202411","24","2,600","50","2022","일곡로49번길","202412~202612","신규","-","","","단독다가구"
"1111","전남광주통합특별시 동구 학동","2**","12m미만","24.54","월세","202411","24","500","42","2021","운림길","202412~202512","신규","-","","","단독다가구"
"1112","전남광주통합특별시 동구 동명동","2**","8m미만","30.00","월세","202411","24","100","28","2003","동명로25번길","202411~202511","신규","-","","","단독다가구"
"1113","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","38.38","월세","202411","23","300","55","2018","송산3길","202411~202511","신규","-","","","단독다가구"
"1114","전남광주통합특별시 광산구 신창동","1***","12m미만","27.00","월세","202411","23","200","20","2010","왕버들로322번길","202412~202512","신규","-","","","단독다가구"
"1115","전남광주통합특별시 북구 신용동","7**","12m미만","26.00","월세","202411","23","300","30","2012","첨단연신로108번길","202411~202511","신규","-","","","단독다가구"
"1116","전남광주통합특별시 서구 양동","3**","8m미만","62.70","월세","202411","23","300","20","1993","양동로41번길","202411~202611","신규","-","","","단독다가구"
"1117","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","91.90","전세","202411","23","11,000","0","2011","남악5로60번길","202501~202701","신규","-","","","단독다가구"
"1118","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","91.90","월세","202411","23","5,500","50","2011","남악5로60번길","202501~202612","신규","-","","","단독다가구"
"1119","전남광주통합특별시 남구 방림동","5**","8m미만","128.87","월세","202411","23","500","25","","대남대로95번길","202411~202611","신규","-","","","단독다가구"
"1120","전남광주통합특별시 남구 월산동","1***","12m미만","120.50","전세","202411","23","8,000","0","1986","대남대로340번길","202501~202701","신규","-","","","단독다가구"
"1121","전남광주통합특별시 광산구 신촌동","1***","8m미만","58.38","월세","202411","23","300","35","1991","신흥동길","202411~202611","신규","-","","","단독다가구"
"1122","전남광주통합특별시 남구 백운동","5**","12m미만","39.60","월세","202411","23","1,000","45","","백서로","202411~202511","신규","-","","","단독다가구"
"1123","전남광주통합특별시 목포시 옥암동","1***","25m미만","67.37","전세","202411","23","5,000","0","2010","남악1로52번나길","202011~202211","갱신","-","5,000","0","단독다가구"
"1124","전남광주통합특별시 동구 지산동","5**","8m미만","80.64","월세","202411","23","200","35","","필문대로289번길","202412~202612","신규","-","","","단독다가구"
"1125","전남광주통합특별시 나주시 빛가람동","4**","25m미만","45.00","월세","202411","23","500","45","2014","황동2길","202411~202611","신규","-","","","단독다가구"
"1126","전남광주통합특별시 여수시 화장동","8**","12m미만","30.00","월세","202411","23","200","35","2013","대통2길","202412~202512","신규","-","","","단독다가구"
"1127","전남광주통합특별시 여수시 화장동","8**","12m미만","23.46","월세","202411","23","200","42","2020","대통1길","202412~202511","신규","-","","","단독다가구"
"1128","전남광주통합특별시 여수시 덕충동","2***","12m미만","56.90","월세","202411","23","500","62","2021","박람회길","202411~202511","신규","-","","","단독다가구"
"1129","전남광주통합특별시 여수시 웅천동","1***","25m미만","63.00","월세","202411","22","1,000","65","2019","웅천중앙로","202411~202611","신규","-","","","단독다가구"
"1130","전남광주통합특별시 여수시 선원동","1***","8m미만","30.00","월세","202411","22","200","30","2011","무선7길","202411~202511","신규","-","","","단독다가구"
"1131","전남광주통합특별시 여수시 화장동","7**","8m미만","27.00","월세","202411","22","100","30","2013","성산4길","202411~202511","신규","-","","","단독다가구"
"1132","전남광주통합특별시 서구 금호동","8**","25m미만","30.00","월세","202411","22","200","30","2009","화개중앙로","202411~202511","신규","-","","","단독다가구"
"1133","전남광주통합특별시 서구 쌍촌동","1***","12m미만","33.00","월세","202411","22","300","47","","쌍촌로20번길","202411~202511","신규","-","","","단독다가구"
"1134","전남광주통합특별시 북구 우산동","1**","12m미만","141.42","전세","202411","22","4,000","0","","중문로30번길","202411~202611","신규","-","","","단독다가구"
"1135","전남광주통합특별시 북구 운암동","8**","12m미만","25.00","월세","202411","22","300","30","2015","동운로213번길","202412~202512","신규","-","","","단독다가구"
"1136","전남광주통합특별시 서구 내방동","8**","12m미만","29.75","전세","202411","22","9,500","0","2022","월드컵4강로198번길","202412~202612","신규","-","","","단독다가구"
"1137","전남광주통합특별시 순천시 해룡면 신대리","2***","8m미만","27.09","월세","202411","22","2,000","48","2022","송산3길","202412~202511","신규","-","","","단독다가구"
"1138","전남광주통합특별시 남구 월산동","1***","25m미만","116.91","월세","202411","22","500","40","1981","수박등로","202412~202612","신규","-","","","단독다가구"
"1139","전남광주통합특별시 남구 봉선동","1***","8m미만","33.00","월세","202411","22","300","42","2012","용대로53번길","202411~202511","신규","-","","","단독다가구"
"1140","전남광주통합특별시 광산구 우산동","1***","12m미만","52.01","월세","202411","22","300","40","1996","사암로118번길","202412~202612","신규","-","","","단독다가구"
"1141","전남광주통합특별시 동구 산수동","4*","8m미만","62.14","전세","202411","22","9,000","0","","밤실로82번길","202412~202612","신규","-","","","단독다가구"
"1142","전남광주통합특별시 광산구 장덕동","1***","12m미만","20.00","월세","202411","22","300","30","2013","장덕로39번길","202411~202611","신규","-","","","단독다가구"
"1143","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","67.00","월세","202411","22","1,000","60","2024","남악4로60번가길","202411~202511","신규","-","","","단독다가구"
"1144","전남광주통합특별시 목포시 산정동","1***","8m미만","35.00","월세","202411","22","200","30","2011","청호로167번길","202411~202511","신규","-","","","단독다가구"
"1145","전남광주통합특별시 광산구 오선동","7**","12m미만","27.00","월세","202411","22","200","35","2017","진곡산단2번로","202411~202511","신규","-","","","단독다가구"
"1146","전남광주통합특별시 북구 중흥동","7**","12m미만","38.00","월세","202411","22","300","45","2017","경열로234번길","-","-","-","","","단독다가구"
"1147","전남광주통합특별시 서구 내방동","8**","12m미만","61.33","월세","202411","22","300","35","1996","월드컵4강로198번길","202412~202612","신규","-","","","단독다가구"
"1148","전남광주통합특별시 서구 풍암동","1***","12m미만","39.60","월세","202411","22","300","30","2006","풍암중앙로86번길","202411~202511","신규","-","","","단독다가구"
"1149","전남광주통합특별시 해남군 해남읍 평동리","1**","12m미만","26.40","월세","202411","22","300","30","","평동길","202411~202511","신규","-","","","단독다가구"
"1150","전남광주통합특별시 서구 쌍촌동","9**","8m미만","25.00","월세","202411","22","200","30","2011","상무대로868번길","202412~202512","신규","-","","","단독다가구"
"1151","전남광주통합특별시 서구 풍암동","1***","12m미만","23.00","월세","202411","22","128","32","2014","풍암순환로109번길","202411~202503","신규","-","","","단독다가구"
"1152","전남광주통합특별시 여수시 돌산읍 우두리","1***","8m미만","31.32","월세","202411","22","400","38","2012","강남5길","202411~202511","신규","-","","","단독다가구"
"1153","전남광주통합특별시 해남군 송지면 서정리","5**","8m미만","82.80","전세","202411","22","4,000","0","2020","서안길","202411~202611","신규","-","","","단독다가구"
"1154","전남광주통합특별시 광산구 신창동","1***","25m미만","30.00","월세","202411","21","100","35","2011","신창로105번길","202412~202503","신규","-","","","단독다가구"
"1155","전남광주통합특별시 목포시 산정동","1***","12m미만","164.97","전세","202411","21","3,000","0","1980","산정로128번길","202411~202611","신규","-","","","단독다가구"
"1156","전남광주통합특별시 순천시 풍덕동","1***","12m미만","78.75","월세","202411","21","500","50","1987","장평4길","202411~202611","신규","-","","","단독다가구"
"1157","전남광주통합특별시 광산구 신창동","1***","12m미만","30.00","월세","202411","21","200","33","2012","장신로309번길","202411~202511","신규","-","","","단독다가구"
"1158","전남광주통합특별시 광양시 광양읍 덕례리","1***","8m미만","30.00","월세","202411","21","100","38","2022","예구8길","202411~202611","신규","-","","","단독다가구"
"1159","전남광주통합특별시 남구 주월동","4**","25m미만","30.00","전세","202411","21","4,000","0","2012","금당로","202412~202612","신규","-","","","단독다가구"
"1160","전남광주통합특별시 북구 용봉동","1***","8m미만","29.60","월세","202411","21","300","45","2012","반룡로18번길","202411~202611","신규","-","","","단독다가구"
"1161","전남광주통합특별시 목포시 옥암동","1***","25m미만","89.00","월세","202411","21","1,000","55","2013","남악1로16번길","202412~202612","신규","-","","","단독다가구"
"1162","전남광주통합특별시 북구 두암동","9**","8m미만","156.96","전세","202411","21","6,000","0","1988","삼정로66번길","202411~202611","신규","-","","","단독다가구"
"1163","전남광주통합특별시 서구 치평동","1***","12m미만","29.42","월세","202411","21","300","56","2020","상무화원로","202411~202511","신규","-","","","단독다가구"
"1164","전남광주통합특별시 나주시 금천면 석전리","5**","12m미만","82.50","전세","202411","21","15,000","0","2017","유전길","202412~202612","신규","-","","","단독다가구"
"1165","전남광주통합특별시 남구 월산동","1***","8m미만","124.49","전세","202411","21","4,000","0","1983","군분로81번길","202411~202501","신규","-","","","단독다가구"
"1166","전남광주통합특별시 보성군 보성읍 보성리","5**","8m미만","26.00","월세","202411","21","500","35","2019","송재로","-","-","-","","","단독다가구"
"1167","전남광주통합특별시 북구 중흥동","3**","12m미만","244.39","월세","202411","21","300","49","2017","용봉로90번길","202411~202511","신규","-","","","단독다가구"
"1168","전남광주통합특별시 순천시 석현동","9*","8m미만","22.00","전세","202411","21","7,000","0","2018","순천대1길","202202~202602","갱신","-","7,000","0","단독다가구"
"1169","전남광주통합특별시 여수시 신기동","9*","12m미만","66.00","월세","202411","21","1,000","50","1991","시전4길","202412~202612","신규","-","","","단독다가구"
"1170","전남광주통합특별시 순천시 남정동","2**","12m미만","61.15","전세","202411","21","5,000","0","1991","남정5길","202412~202612","신규","-","","","단독다가구"
"1171","전남광주통합특별시 여수시 덕충동","2***","8m미만","63.25","월세","202411","21","1,000","70","","박람회길","202411~202605","신규","-","","","단독다가구"
"1172","전남광주통합특별시 여수시 안산동","4**","12m미만","55.38","월세","202411","20","2,000","35","1991","안산5길","202411~202611","신규","-","","","단독다가구"
"1173","전남광주통합특별시 나주시 교동","1**","8m미만","34.02","월세","202411","20","500","20","2005","잿등길","202411~202611","신규","-","","","단독다가구"
"1174","전남광주통합특별시 순천시 덕월동","1***","8m미만","36.80","전세","202411","20","8,000","0","2003","덕월3길","202501~202701","신규","-","","","단독다가구"
"1175","전남광주통합특별시 여수시 덕충동","1***","25m미만","48.96","월세","202411","20","50","18","1971","충민로","202411~202511","신규","-","","","단독다가구"
"1176","전남광주통합특별시 여수시 소호동","9**","8m미만","132.71","월세","202411","20","10,000","100","2020","소호12길","202412~202612","신규","-","","","단독다가구"
"1177","전남광주통합특별시 서구 화정동","9**","8m미만","231.36","월세","202411","20","500","25","1993","염화로83번길","202412~202612","신규","-","","","단독다가구"
"1178","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","56.00","전세","202411","20","8,500","0","2012","남악5로52번길","202412~202612","갱신","-","8,500","0","단독다가구"
"1179","전남광주통합특별시 광산구 수완동","1***","12m미만","33.00","월세","202411","20","300","37","","수완로50번길","202411~202511","신규","-","","","단독다가구"
"1180","전남광주통합특별시 광산구 수완동","1***","12m미만","41.00","월세","202411","20","1,000","50","2012","수완로74번길","202412~202512","갱신","-","500","54","단독다가구"
"1181","전남광주통합특별시 남구 백운동","6**","8m미만","28.52","월세","202411","20","300","37","","대남대로247번길","202411~202511","신규","-","","","단독다가구"
"1182","전남광주통합특별시 동구 지산동","2**","8m미만","70.56","전세","202411","20","10,000","0","","지호로","-","-","-","","","단독다가구"
"1183","전남광주통합특별시 광산구 하남동","1***","12m미만","20.40","월세","202411","20","200","37","2021","마항5길","202411~202511","신규","-","","","단독다가구"
"1184","전남광주통합특별시 광산구 하남동","7**","12m미만","43.00","월세","202411","20","200","35","2015","용아로399번길","202411~202511","신규","-","","","단독다가구"
"1185","전남광주통합특별시 여수시 소라면 죽림리","1***","12m미만","42.49","월세","202411","20","1,000","70","2019","죽림3길","202412~202512","신규","-","","","단독다가구"
"1186","전남광주통합특별시 목포시 상동","8**","12m미만","38.00","월세","202411","20","200","43","2012","하당로205번길","202411~202505","신규","-","","","단독다가구"
"1187","전남광주통합특별시 서구 쌍촌동","1***","12m미만","38.00","월세","202411","20","300","52","2022","상무대로902번길","202412~202512","신규","-","","","단독다가구"
"1188","전남광주통합특별시 서구 쌍촌동","5**","12m미만","36.80","월세","202411","20","100","26","2003","화정로21번길","202412~202512","신규","-","","","단독다가구"
"1189","전남광주통합특별시 여수시 소라면 죽림리","1***","25m미만","56.00","월세","202411","20","500","45","2018","죽림중앙로","202411~202511","신규","-","","","단독다가구"
"1190","전남광주통합특별시 광산구 신창동","1***","12m미만","29.75","월세","202411","20","500","23","2010","신창로138번길","202411~202511","신규","-","","","단독다가구"
"1191","전남광주통합특별시 서구 화정동","2*","12m미만","198.21","월세","202411","20","300","45","1993","내방로350번길","202411~202511","신규","-","","","단독다가구"
"1192","전남광주통합특별시 서구 화정동","7**","8m미만","104.26","전세","202411","20","9,000","0","1981","월드컵4강로158번길","202412~202612","신규","-","","","단독다가구"
"1193","전남광주통합특별시 장흥군 장흥읍 건산리","4**","8m미만","76.00","월세","202411","20","300","30","","건산로1길","202411~202511","신규","-","","","단독다가구"
"1194","전남광주통합특별시 북구 오치동","9**","8m미만","32.00","월세","202411","20","50","23","2002","안산로","202411~202511","신규","-","","","단독다가구"
"1195","전남광주통합특별시 남구 월산동","1***","8m미만","105.48","월세","202411","20","200","27","","군분로82번길","202411~202611","신규","-","","","단독다가구"
"1196","전남광주통합특별시 서구 풍암동","9**","25m미만","66.00","월세","202411","20","1,000","40","2015","풍금로","202412~202512","신규","-","","","단독다가구"
"1197","전남광주통합특별시 광산구 월계동","8**","12m미만","27.00","월세","202411","20","200","29","2005","월계로150번길","202411~202511","신규","-","","","단독다가구"
"1198","전남광주통합특별시 서구 풍암동","9**","12m미만","64.82","전세","202411","20","8,000","0","2006","풍금로12번길","202501~202701","신규","-","","","단독다가구"
"1199","전남광주통합특별시 서구 농성동","6**","12m미만","29.00","월세","202411","20","100","25","2011","화정로293번길","202411~202611","신규","-","","","단독다가구"
"1200","전남광주통합특별시 광산구 월곡동","5**","12m미만","33.00","월세","202411","20","300","38","1992","월곡반월로58번길","202412~202612","신규","-","","","단독다가구"
"1201","전남광주통합특별시 서구 치평동","1***","12m미만","45.00","월세","202411","20","500","51","2015","상무화원로","202411~202511","신규","-","","","단독다가구"
"1202","전남광주통합특별시 남구 봉선동","1***","12m미만","28.40","월세","202411","20","300","39","2022","봉선로9번길","202411~202511","신규","-","","","단독다가구"
"1203","전남광주통합특별시 남구 봉선동","1***","8m미만","67.57","전세","202411","20","5,000","0","1991","대남대로159번길","202411~202611","신규","-","","","단독다가구"
"1204","전남광주통합특별시 북구 용봉동","1***","12m미만","38.00","월세","202411","20","500","45","","고운로","202411~202511","신규","-","","","단독다가구"
"1205","전남광주통합특별시 광산구 신가동","9**","12m미만","53.00","월세","202411","19","3,000","45","2006","목련로397번안길","202412~202512","신규","-","","","단독다가구"
"1206","전남광주통합특별시 서구 풍암동","9**","12m미만","50.00","월세","202411","19","200","35","2007","풍금로11번길","202412~202512","신규","-","","","단독다가구"
"1207","전남광주통합특별시 순천시 풍덕동","1***","8m미만","126.10","전세","202411","19","5,000","0","1987","장평3길","202412~202612","신규","-","","","단독다가구"
"1208","전남광주통합특별시 순천시 풍덕동","1***","12m미만","123.39","월세","202411","19","500","50","1991","풍덕3길","202411~202611","신규","-","","","단독다가구"
"1209","전남광주통합특별시 서구 쌍촌동","9**","8m미만","29.75","월세","202411","19","50","15","1978","쌍촌로43번길","202411~202611","신규","-","","","단독다가구"
"1210","전남광주통합특별시 서구 쌍촌동","9**","12m미만","28.40","월세","202411","19","200","40","2018","상무대로955번길","202411~202511","신규","-","","","단독다가구"
"1211","전남광주통합특별시 무안군 삼향읍 남악리","1***","25m미만","28.00","월세","202411","19","300","40","2010","남악5로60번길","202411~202503","신규","-","","","단독다가구"
"1212","전남광주통합특별시 서구 농성동","6**","12m미만","50.00","월세","202411","19","500","60","2013","군분로200번길","202411~202511","신규","-","","","단독다가구"
"1213","전남광주통합특별시 광산구 수완동","1***","12m미만","26.00","월세","202411","19","200","29","2012","수완로48번길","202411~202511","신규","-","","","단독다가구"
"1214","전남광주통합특별시 광산구 장덕동","1***","12m미만","30.00","월세","202411","19","300","37","2014","장신로20번안길","202411~202511","신규","-","","","단독다가구"
"1215","전남광주통합특별시 광산구 신창동","1***","12m미만","60.00","월세","202411","19","200","40","2012","신창로138번길","202411~202511","신규","-","","","단독다가구"
"1216","전남광주통합특별시 북구 용두동","4**","8m미만","72.99","전세","202411","19","29,000","0","","","202502~202702","신규","-","","","단독다가구"
"1217","전남광주통합특별시 광산구 하남동","6**","25m미만","24.00","전세","202411","19","4,000","0","2011","하남대로54번길","202412~202612","신규","-","","","단독다가구"
"1218","전남광주통합특별시 북구 양산동","2**","12m미만","20.00","월세","202411","19","200","30","2016","상촌로21번길","202411~202511","신규","-","","","단독다가구"
"1219","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","105.98","월세","202411","19","1,000","60","2012","남악4로60번가길","202411~202511","신규","-","","","단독다가구"
"1220","전남광주통합특별시 여수시 돌산읍 우두리","1***","25m이상","33.30","월세","202411","19","100","45","2014","강남해안로","202411~202511","신규","-","","","단독다가구"
"1221","전남광주통합특별시 목포시 용당동","1**","12m미만","64.80","월세","202411","19","200","20","1991","용당로160번길","202411~202511","신규","-","","","단독다가구"
"1222","전남광주통합특별시 진도군 진도읍 교동리","1**","8m미만","72.00","전세","202411","19","8,000","0","1981","북산길","202502~202702","신규","-","","","단독다가구"
"1223","전남광주통합특별시 광산구 월계동","7**","12m미만","85.00","월세","202411","19","500","45","1998","월계로22번길","202412~202611","신규","-","","","단독다가구"
"1224","전남광주통합특별시 광산구 월계동","7**","12m미만","23.10","월세","202411","19","100","32","2007","월계로34번길","202411~202511","신규","-","","","단독다가구"
"1225","전남광주통합특별시 광산구 월전동","1***","12m미만","23.60","월세","202411","19","100","34","2013","월전로","202411~202511","신규","-","","","단독다가구"
"1226","전남광주통합특별시 북구 용봉동","1***","8m미만","30.00","월세","202411","19","200","35","2018","용주로46번길","202411~202511","신규","-","","","단독다가구"
"1227","전남광주통합특별시 구례군 토지면 구산리","2**","8m미만","60.16","월세","202411","19","500","30","1951","구산길","202412~202611","신규","-","","","단독다가구"
"1228","전남광주통합특별시 광산구 신가동","1***","12m미만","21.00","월세","202411","19","150","32","2018","신창로33번길","202411~202511","신규","-","","","단독다가구"
"1229","전남광주통합특별시 여수시 선원동","1***","12m미만","45.00","월세","202411","19","200","45","2020","무선7길","202411~202511","신규","-","","","단독다가구"
"1230","전남광주통합특별시 순천시 조례동","1***","12m미만","27.00","월세","202411","19","200","38","2020","조례2길","202411~202511","신규","-","","","단독다가구"
"1231","전남광주통합특별시 나주시 빛가람동","5**","12m미만","69.00","월세","202411","18","600","52","2016","황동3길","202411~202511","갱신","-","500","50","단독다가구"
"1232","전남광주통합특별시 여수시 웅천동","1***","12m미만","65.01","전세","202411","18","8,000","0","2014","웅남4길","202411~202611","신규","-","","","단독다가구"
"1233","전남광주통합특별시 여수시 선원동","1***","8m미만","45.00","월세","202411","18","200","50","2017","무선4길","202411~202511","신규","-","","","단독다가구"
"1234","전남광주통합특별시 순천시 가곡동","1***","25m미만","99.00","월세","202411","18","1,000","40","2015","고지1길","202501~202612","신규","-","","","단독다가구"
"1235","전남광주통합특별시 여수시 화장동","9**","12m미만","35.00","월세","202411","18","200","55","2019","무선로","202411~202511","신규","-","","","단독다가구"
"1236","전남광주통합특별시 여수시 선원동","1**","12m미만","40.00","월세","202411","18","300","60","2019","선원3길","202411~202511","신규","-","","","단독다가구"
"1237","전남광주통합특별시 북구 오치동","9**","8m미만","21.00","월세","202411","18","200","25","2017","송월로49번길","202411~202511","신규","-","","","단독다가구"
"1238","전남광주통합특별시 광산구 운수동","2*","8m미만","26.00","월세","202411","18","200","27","2011","어등대로","202411~202511","신규","-","","","단독다가구"
"1239","전남광주통합특별시 장흥군 대덕읍 신월리","2**","12m미만","72.73","월세","202411","18","0","30","","대대로","202411~202912","신규","-","","","단독다가구"
"1240","전남광주통합특별시 광산구 선암동","6**","12m미만","27.00","월세","202411","18","200","30","","선운로2번길","202411~202511","신규","-","","","단독다가구"
"1241","전남광주통합특별시 순천시 풍덕동","1***","12m미만","70.00","월세","202411","18","2,000","55","2015","풍덕새길","202412~202512","신규","-","","","단독다가구"
"1242","전남광주통합특별시 서구 쌍촌동","2**","8m미만","28.60","월세","202411","18","500","80","2022","내방로246번길","202411~202511","신규","-","","","단독다가구"
"1243","전남광주통합특별시 서구 쌍촌동","4**","8m미만","25.00","전세","202411","18","1,900","0","2003","화정로74번길","202412~202612","신규","-","","","단독다가구"
"1244","전남광주통합특별시 서구 쌍촌동","2**","8m미만","28.60","월세","202411","18","500","80","2022","내방로246번길","202412~202512","신규","-","","","단독다가구"
"1245","전남광주통합특별시 서구 화정동","6**","8m미만","157.03","월세","202411","18","8,000","8","1990","화정로","202411~202611","갱신","-","8,000","8","단독다가구"
"1246","전남광주통합특별시 광산구 비아동","7**","8m미만","226.95","전세","202411","18","60,000","0","2004","첨단과기로","202411~202611","신규","-","","","단독다가구"
"1247","전남광주통합특별시 광산구 수완동","1***","25m미만","32.35","월세","202411","18","300","53","2017","수완로12번길","202411~202511","신규","-","","","단독다가구"
"1248","전남광주통합특별시 광산구 수완동","1***","12m미만","115.00","전세","202411","18","20,000","0","2015","수완로48번길","202411~202611","신규","-","","","단독다가구"
"1249","전남광주통합특별시 광산구 수완동","1***","12m미만","27.72","월세","202411","18","500","53","2019","수완로10번길","202411~202511","신규","-","","","단독다가구"
"1250","전남광주통합특별시 동구 운림동","6**","12m미만","33.00","월세","202411","18","300","32","2014","의재로136번길","202411~202511","신규","-","","","단독다가구"
"1251","전남광주통합특별시 북구 신용동","7**","25m미만","49.00","월세","202411","18","300","55","2015","첨단연신로108번길","202411~202511","신규","-","","","단독다가구"
"1252","전남광주통합특별시 나주시 남평읍 교촌리","1**","8m미만","100.00","월세","202411","18","500","40","","교원교촌길","202411~202711","신규","-","","","단독다가구"
"1253","전남광주통합특별시 해남군 해남읍 남외리","6*","12m미만","30.00","월세","202411","18","200","38","2012","남외1길","202411~202511","신규","-","","","단독다가구"
"1254","전남광주통합특별시 남구 주월동","9*","12m미만","71.61","월세","202411","18","500","35","1990","군분로23번길","202412~202712","신규","-","","","단독다가구"
"1255","전남광주통합특별시 광산구 월계동","7**","12m미만","29.00","월세","202411","18","500","37","2001","월계로22번길","202411~202511","신규","-","","","단독다가구"
"1256","전남광주통합특별시 광산구 월계동","8**","12m미만","54.87","전세","202411","18","5,000","0","1998","첨단내촌로57번길","202412~202612","신규","-","","","단독다가구"
"1257","전남광주통합특별시 광산구 하남동","1***","25m미만","80.05","월세","202411","18","3,000","140","","마항길","-","-","-","","","단독다가구"
"1258","전남광주통합특별시 북구 운암동","8**","8m미만","33.00","월세","202411","18","200","40","","동운로201번길","202411~202511","신규","-","","","단독다가구"
"1259","전남광주통합특별시 광산구 흑석동","7**","12m미만","95.36","월세","202411","18","2,000","141","2023","하남울로공원2길","202411~202611","신규","-","","","단독다가구"
"1260","전남광주통합특별시 장성군 남면 삼태리","8**","12m미만","40.00","전세","202411","18","5,500","0","2019","나노산단1로","202412~202612","신규","-","","","단독다가구"
"1261","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","44.30","전세","202411","18","7,500","0","2017","송산2길","202412~202612","갱신","-","7,350","0","단독다가구"
"1262","전남광주통합특별시 북구 두암동","6**","8m미만","131.52","월세","202411","18","500","40","","면앙로209번길","202411~202611","신규","-","","","단독다가구"
"1263","전남광주통합특별시 서구 쌍촌동","1***","12m미만","70.08","월세","202411","17","1,000","35","1994","화정로21번길","202412~202611","신규","-","","","단독다가구"
"1264","전남광주통합특별시 순천시 매곡동","3**","8m미만","98.94","전세","202411","17","3,500","0","1981","매곡길","202411~202611","신규","-","","","단독다가구"
"1265","전남광주통합특별시 담양군 무정면 영천리","4**","12m미만","148.45","전세","202411","17","12,000","0","1997","봉서길","202412~202612","신규","-","","","단독다가구"
"1266","전남광주통합특별시 북구 연제동","3*","8m미만","20.00","월세","202411","17","100","38","2021","양산제로38번길","202411~202511","신규","-","","","단독다가구"
"1267","전남광주통합특별시 구례군 구례읍 봉동리","1**","8m미만","33.71","월세","202411","17","500","35","","5일시장길","202411~202811","갱신","-","500","30","단독다가구"
"1268","전남광주통합특별시 장성군 남면 삼태리","8**","12m미만","21.44","월세","202411","17","200","39","2022","나노산단1로","202411~202511","신규","-","","","단독다가구"
"1269","전남광주통합특별시 광산구 수완동","1***","25m이상","39.00","월세","202411","17","1,000","80","2011","수완로","202411~202611","신규","-","","","단독다가구"
"1270","전남광주통합특별시 서구 화정동","1**","12m미만","30.00","월세","202411","17","250","43","2013","내방마을2길","202411~202511","신규","-","","","단독다가구"
"1271","전남광주통합특별시 서구 내방동","8**","12m미만","31.00","월세","202411","17","200","50","2017","월드컵4강로182번길","202411~202511","신규","-","","","단독다가구"
"1272","전남광주통합특별시 순천시 풍덕동","8**","25m미만","241.40","월세","202411","17","500","45","1979","중앙초등길","202412~202612","신규","-","","","단독다가구"
"1273","전남광주통합특별시 여수시 덕충동","2***","12m미만","33.00","월세","202411","17","200","40","2015","덕충안길","202411~202511","갱신","-","200","40","단독다가구"
"1274","전남광주통합특별시 순천시 조례동","1***","12m미만","40.00","월세","202411","17","300","50","2016","비봉2길","202411~202611","신규","-","","","단독다가구"
"1275","전남광주통합특별시 여수시 신기동","5*","12m미만","33.00","월세","202411","17","200","43","2021","신기북1길","202411~202511","신규","-","","","단독다가구"
"1276","전남광주통합특별시 남구 백운동","6**","12m미만","42.97","월세","202411","16","300","41","2002","진다리로6번길","202411~202511","신규","-","","","단독다가구"
"1277","전남광주통합특별시 광산구 신가동","9**","12m미만","29.00","월세","202411","16","200","38","2003","신가삼효로","202411~202511","신규","-","","","단독다가구"
"1278","전남광주통합특별시 목포시 연산동","1***","12m미만","51.24","월세","202411","16","500","45","2017","연산백련로7번길","202411~202511","신규","-","","","단독다가구"
"1279","전남광주통합특별시 무안군 삼향읍 남악리","2***","12m미만","26.50","월세","202411","16","300","36","2020","남악5로26번길","202411~202511","신규","-","","","단독다가구"
