"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"2486","전남광주통합특별시 서구 쌍촌동","1***","12m미만","33.00","월세","202510","28","200","37","2001","상일로42번길","202510~202610","신규","-","","","단독다가구"
"2487","전남광주통합특별시 서구 풍암동","1***","12m미만","45.00","월세","202510","28","500","40","2004","풍암2로53번길","202601~202701","신규","-","","","단독다가구"
"2488","전남광주통합특별시 나주시 송월동","1***","8m미만","13.64","월세","202510","28","200","35","2022","송월11길","202510~202610","신규","-","","","단독다가구"
"2489","전남광주통합특별시 서구 쌍촌동","9**","25m미만","41.00","월세","202510","28","500","63","2017","쌍촌로","202510~202610","신규","-","","","단독다가구"
"2490","전남광주통합특별시 서구 내방동","3**","8m미만","24.67","월세","202510","27","300","50","2020","월드컵4강로198번길","202510~202610","신규","-","","","단독다가구"
"2491","전남광주통합특별시 서구 쌍촌동","9**","8m미만","33.00","월세","202510","27","500","45","2013","상무대로876번길","202511~202611","신규","-","","","단독다가구"
"2492","전남광주통합특별시 서구 쌍촌동","1***","12m미만","49.00","월세","202510","27","500","38","2002","상무오월로3번길","202511~202611","신규","-","","","단독다가구"
"2493","전남광주통합특별시 서구 쌍촌동","1***","12m미만","40.00","월세","202510","27","300","50","2018","쌍촌로20번길","202510~202610","신규","-","","","단독다가구"
"2494","전남광주통합특별시 서구 쌍촌동","1***","12m미만","115.13","월세","202510","27","1,236","43","2005","상무오월로3번길","202510~202712","신규","-","","","단독다가구"
"2495","전남광주통합특별시 서구 화정동","2*","8m미만","22.02","월세","202510","27","300","60","2021","내방로350번길","202510~202610","신규","-","","","단독다가구"
"2496","전남광주통합특별시 서구 치평동","1***","25m미만","27.00","월세","202510","27","200","35","2011","마륵로","202510~202610","신규","-","","","단독다가구"
"2497","전남광주통합특별시 서구 내방동","8**","25m이상","34.52","월세","202510","27","300","38","2016","월드컵4강로","202510~202610","신규","-","","","단독다가구"
"2498","전남광주통합특별시 서구 내방동","8**","8m미만","33.00","월세","202510","27","500","45","2020","상무대로1005번길","202510~202610","신규","-","","","단독다가구"
"2499","전남광주통합특별시 서구 풍암동","1***","12m미만","30.11","월세","202510","27","300","29","2004","풍암중앙로82번길","202511~202611","신규","-","","","단독다가구"
"2500","전남광주통합특별시 순천시 연향동","1***","12m미만","28.00","월세","202510","27","200","35","2011","상대석2길","202511~202610","신규","-","","","단독다가구"
"2501","전남광주통합특별시 순천시 덕월동","7**","8m미만","29.70","월세","202510","27","100","25","2000","소라2길","202510~202602","신규","-","","","단독다가구"
"2502","전남광주통합특별시 여수시 화장동","8**","12m미만","40.00","전세","202510","27","7,000","0","2020","화산2길","202511~202711","신규","-","","","단독다가구"
"2503","전남광주통합특별시 여수시 선원동","1***","8m미만","28.39","월세","202510","27","100","40","","무선5길","202511~202602","신규","-","","","단독다가구"
"2504","전남광주통합특별시 여수시 선원동","1***","8m미만","36.25","월세","202510","27","100","45","2021","무선5길","202511~202602","신규","-","","","단독다가구"
"2505","전남광주통합특별시 여수시 상암동","8**","8m미만","74.94","월세","202510","27","100","37","2013","상암로","202510~202610","신규","-","","","단독다가구"
"2506","전남광주통합특별시 나주시 송월동","1***","8m미만","18.00","월세","202510","27","150","30","2015","송월15길","202511~202610","신규","-","","","단독다가구"
"2507","전남광주통합특별시 동구 금남로5가","1**","12m미만","27.84","월세","202510","27","500","70","2021","금남로169번길","202510~202610","신규","-","","","단독다가구"
"2508","전남광주통합특별시 광산구 월곡동","5**","25m미만","40.00","월세","202510","27","200","45","2018","월곡반월로","202511~202611","신규","-","","","단독다가구"
"2509","전남광주통합특별시 북구 두암동","8**","12m미만","62.30","월세","202510","27","300","35","","동문대로100번길","202511~202711","신규","-","","","단독다가구"
"2510","전남광주통합특별시 광산구 비아동","9*","12m미만","19.80","월세","202510","27","300","50","2023","비아중앙로31번길","202511~202610","신규","-","","","단독다가구"
"2511","전남광주통합특별시 광양시 광양읍 칠성리","9**","12m미만","42.90","월세","202510","27","100","32","2014","서북로","202510~202710","신규","-","","","단독다가구"
"2512","전남광주통합특별시 남구 방림동","5*","8m미만","42.00","전세","202510","27","4,500","0","2013","용대로","202511~202611","신규","-","","","단독다가구"
"2513","전남광주통합특별시 북구 오치동","9**","8m미만","33.00","전세","202510","27","2,000","0","2001","우치로","202601~202801","신규","-","","","단독다가구"
"2514","전남광주통합특별시 북구 문흥동","9**","8m미만","32.00","월세","202510","27","1,000","55","1992","호동로75번길","202511~202711","신규","-","","","단독다가구"
"2515","전남광주통합특별시 남구 월산동","9**","12m미만","29.58","월세","202510","27","500","66","2023","대남대로398번길","202510~202610","신규","-","","","단독다가구"
"2516","전남광주통합특별시 목포시 연산동","1***","12m미만","63.88","월세","202510","27","500","50","2021","연산백련로7번길","202511~202610","신규","-","","","단독다가구"
"2517","전남광주통합특별시 북구 양산동","2**","12m미만","82.59","월세","202510","27","1,000","40","1990","효열로","202510~202710","신규","-","","","단독다가구"
"2518","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","30.00","월세","202510","27","3,000","20","2019","송산3길","202601~202801","신규","-","","","단독다가구"
"2519","전남광주통합특별시 광산구 신창동","1***","12m미만","20.00","전세","202510","27","3,000","0","2009","신창로48번길","202510~202710","신규","-","","","단독다가구"
"2520","전남광주통합특별시 북구 매곡동","1**","8m미만","16.98","월세","202510","27","200","34","2020","어매마을길","202510~202610","신규","-","","","단독다가구"
"2521","전남광주통합특별시 광양시 광양읍 구산리","7**","25m미만","39.00","월세","202510","27","100","35","2010","서평로","202511~202610","신규","-","","","단독다가구"
"2522","전남광주통합특별시 해남군 해남읍 해리","5**","8m미만","23.96","월세","202510","27","500","55","2022","해리9길","202510~202610","신규","-","","","단독다가구"
"2523","전남광주통합특별시 남구 월산동","9**","12m미만","25.00","월세","202510","27","300","49","2023","대남대로398번길","202510~202610","신규","-","","","단독다가구"
"2524","전남광주통합특별시 영광군 영광읍 학정리","6*","8m미만","132.00","월세","202510","27","200","29","","영광로7길","202510~202610","신규","-","","","단독다가구"
"2525","전남광주통합특별시 동구 운림동","6**","12m미만","48.00","월세","202510","26","500","45","2015","의재로136번길","202510~202710","신규","-","","","단독다가구"
"2526","전남광주통합특별시 광산구 하남동","1***","12m미만","29.23","월세","202510","26","500","70","2022","하남마항로29번길","202510~202610","신규","-","","","단독다가구"
"2527","전남광주통합특별시 남구 주월동","9**","12m미만","25.00","월세","202510","26","200","29","2012","대남대로223번길","202511~202610","신규","-","","","단독다가구"
"2528","전남광주통합특별시 남구 임암동","7**","12m미만","40.00","월세","202510","26","400","45","2018","효천안길","202511~202610","신규","-","","","단독다가구"
"2529","전남광주통합특별시 남구 월산동","9**","8m미만","52.00","월세","202510","26","200","30","1991","금화로415번길","202510~202710","신규","-","","","단독다가구"
"2530","전남광주통합특별시 동구 지산동","2**","8m미만","25.55","월세","202510","26","200","37","2005","밤실로4번안길","202510~202710","신규","-","","","단독다가구"
"2531","전남광주통합특별시 광산구 신창동","1***","12m미만","30.00","전세","202510","26","3,000","0","2007","신창로48번길","202510~202710","신규","-","","","단독다가구"
"2532","전남광주통합특별시 광산구 비아동","9*","12m미만","26.10","월세","202510","26","300","50","","비아중앙로31번길","202511~202611","신규","-","","","단독다가구"
"2533","전남광주통합특별시 여수시 안산동","7**","12m미만","20.00","월세","202510","26","100","33","2012","장성4길","202510~202610","신규","-","","","단독다가구"
"2534","전남광주통합특별시 서구 쌍촌동","2**","12m미만","30.00","월세","202510","26","200","38","2018","월드컵4강로226번길","202510~202610","신규","-","","","단독다가구"
"2535","전남광주통합특별시 서구 쌍촌동","2**","25m이상","25.56","월세","202510","26","200","35","2016","월드컵4강로","202510~202610","신규","-","","","단독다가구"
"2536","전남광주통합특별시 순천시 매곡동","3**","8m미만","26.00","월세","202510","26","100","30","1974","북정4길","202511~202610","신규","-","","","단독다가구"
"2537","전남광주통합특별시 서구 쌍촌동","9**","8m미만","22.68","월세","202510","26","300","37","2019","상무대로955번길","202510~202610","신규","-","","","단독다가구"
"2538","전남광주통합특별시 서구 쌍촌동","1***","12m미만","31.00","월세","202510","26","1,000","30","2007","상무민주로123번길","202511~202610","신규","-","","","단독다가구"
"2539","전남광주통합특별시 서구 화정동","2*","12m미만","16.09","월세","202510","26","3,000","33","2022","내방로350번길","202510~202610","신규","-","","","단독다가구"
"2540","전남광주통합특별시 서구 금호동","8**","12m미만","30.00","월세","202510","26","200","28","2012","화개2로9번길","-","-","-","","","단독다가구"
"2541","전남광주통합특별시 순천시 조곡동","5*","8m미만","125.58","월세","202510","25","200","25","1994","율전2길","202511~202610","신규","-","","","단독다가구"
"2542","전남광주통합특별시 서구 쌍촌동","4**","8m미만","22.03","월세","202510","25","1,000","55","2025","화정로39번길","202510~202610","신규","-","","","단독다가구"
"2543","전남광주통합특별시 서구 쌍촌동","9**","8m미만","28.31","월세","202510","25","500","70","2023","상무대로876번길","202510~202610","신규","-","","","단독다가구"
"2544","전남광주통합특별시 여수시 덕충동","2***","12m미만","98.10","월세","202510","25","3,000","85","2015","박람회길","202511~202611","신규","-","","","단독다가구"
"2545","전남광주통합특별시 순천시 가곡동","1***","25m미만","50.00","월세","202510","25","500","60","2016","원가곡3길","202510~202610","신규","-","","","단독다가구"
"2546","전남광주통합특별시 여수시 봉산동","2**","12m미만","43.00","월세","202510","25","100","35","1985","봉산남8길","202510~202610","신규","-","","","단독다가구"
"2547","전남광주통합특별시 서구 쌍촌동","5**","12m미만","35.65","월세","202510","25","300","40","2014","운천로154번길","202510~202610","신규","-","","","단독다가구"
"2548","전남광주통합특별시 서구 쌍촌동","1***","12m미만","25.67","월세","202510","25","200","45","","상무민주로32번길","202510~202610","신규","-","","","단독다가구"
"2549","전남광주통합특별시 여수시 미평동","3**","12m미만","45.00","월세","202510","25","200","47","2019","미평4길","202511~202610","신규","-","","","단독다가구"
"2550","전남광주통합특별시 서구 쌍촌동","9**","8m미만","44.00","월세","202510","25","2,000","20","2007","상무대로876번길","202511~202711","신규","-","","","단독다가구"
"2551","전남광주통합특별시 순천시 금곡동","9*","8m미만","41.01","월세","202510","25","500","30","1983","금곡길","202511~203010","신규","-","","","단독다가구"
"2552","전남광주통합특별시 광산구 장덕동","1***","12m미만","25.63","월세","202510","25","200","30","2015","풍영로229번안길","202510~202610","신규","-","","","단독다가구"
"2553","전남광주통합특별시 광산구 신창동","1***","12m미만","28.92","월세","202510","25","300","39","2011","신창로166번길","202510~202610","신규","-","","","단독다가구"
"2554","전남광주통합특별시 광산구 신창동","1***","25m미만","30.00","월세","202510","25","300","45","2017","신창로36번길","202510~202610","신규","-","","","단독다가구"
"2555","전남광주통합특별시 동구 장동","1**","8m미만","28.00","월세","202510","25","150","30","2002","제봉로98번길","202511~202610","신규","-","","","단독다가구"
"2556","전남광주통합특별시 북구 용봉동","6**","12m미만","41.30","월세","202510","25","1,000","45","","설죽로148번길","202510~202610","신규","-","","","단독다가구"
"2557","전남광주통합특별시 북구 신용동","7**","12m미만","30.00","월세","202510","25","300","40","2014","첨단연신로108번길","202511~202611","신규","-","","","단독다가구"
"2558","전남광주통합특별시 광산구 수완동","1***","12m미만","49.00","월세","202510","25","300","66","2015","수완로10번길","202510~202610","신규","-","","","단독다가구"
"2559","전남광주통합특별시 광산구 수완동","1***","12m미만","50.00","전세","202510","25","8,000","0","2012","수완로74번길","202511~202711","신규","-","","","단독다가구"
"2560","전남광주통합특별시 광산구 수완동","1***","25m미만","42.56","월세","202510","25","300","55","2018","수완로74번길","202510~202610","신규","-","","","단독다가구"
"2561","전남광주통합특별시 광산구 수완동","1***","12m미만","24.65","월세","202510","25","200","33","2014","수완로10번길","202510~202610","신규","-","","","단독다가구"
"2562","전남광주통합특별시 동구 학동","5**","12m미만","30.00","월세","202510","25","500","47","2022","남문로744번길","202511~202701","신규","-","","","단독다가구"
"2563","전남광주통합특별시 남구 봉선동","1***","12m미만","32.82","월세","202510","25","200","45","2015","봉선로25번길","202510~202710","신규","-","","","단독다가구"
"2564","전남광주통합특별시 목포시 옥암동","1***","12m미만","70.24","월세","202510","25","500","65","2020","후광대로105번길","202510~202710","신규","-","","","단독다가구"
"2565","전남광주통합특별시 북구 양산동","8**","12m미만","30.00","월세","202510","25","200","34","2011","양산택지로37번길","202510~202610","신규","-","","","단독다가구"
"2566","전남광주통합특별시 동구 수기동","*","8m미만","24.03","월세","202510","25","200","37","2018","독립로226번길","202510~202610","신규","-","","","단독다가구"
"2567","전남광주통합특별시 북구 오치동","9**","25m미만","27.13","월세","202510","25","500","50","2021","서하로","202511~202610","신규","-","","","단독다가구"
"2568","전남광주통합특별시 광산구 산정동","9**","12m미만","30.00","월세","202510","25","100","30","2012","산정공원로59번길","202510~202610","신규","-","","","단독다가구"
"2569","전남광주통합특별시 광산구 장덕동","1***","12m미만","116.00","전세","202510","25","7,500","0","2015","장덕로50번길","202511~202711","신규","-","","","단독다가구"
"2570","전남광주통합특별시 광산구 장덕동","1***","12m미만","58.26","월세","202510","25","400","60","2008","장신로20번안길","202510~202610","신규","-","","","단독다가구"
"2571","전남광주통합특별시 광산구 하남동","1***","25m미만","28.30","월세","202510","25","400","67","2021","마항길","202510~202610","신규","-","","","단독다가구"
"2572","전남광주통합특별시 광양시 광양읍 덕례리","1***","12m미만","99.00","월세","202510","25","500","60","2015","대림2길","202510~202710","신규","-","","","단독다가구"
"2573","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","30.53","월세","202510","25","300","30","2012","남악4로60번나길","202510~202610","신규","-","","","단독다가구"
"2574","전남광주통합특별시 목포시 옥암동","1***","12m미만","64.99","월세","202510","25","500","65","2020","후광대로105번길","202511~202611","신규","-","","","단독다가구"
"2575","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","26.40","월세","202510","25","300","45","2012","매안5길","202511~202611","신규","-","","","단독다가구"
"2576","전남광주통합특별시 광산구 신가동","9**","12m미만","30.00","월세","202510","25","500","37","2004","신가삼효로","202510~202610","신규","-","","","단독다가구"
"2577","전남광주통합특별시 남구 행암동","6**","12m미만","42.00","월세","202510","25","300","48","2014","효우로230번길","202510~202610","신규","-","","","단독다가구"
"2578","전남광주통합특별시 북구 두암동","8**","12m미만","22.00","월세","202510","25","150","32","2012","면앙로156번길","202510~202610","신규","-","","","단독다가구"
"2579","전남광주통합특별시 광산구 하남동","6**","12m미만","23.10","월세","202510","25","200","35","2013","하남대로54번안길","202510~202610","신규","-","","","단독다가구"
"2580","전남광주통합특별시 동구 지산동","3**","8m미만","20.00","월세","202510","24","100","23","1986","지산로","202512~202712","신규","-","","","단독다가구"
"2581","전남광주통합특별시 북구 신용동","6**","12m미만","20.00","월세","202510","24","300","39","2017","연양로7번길","202511~202610","신규","-","","","단독다가구"
"2582","전남광주통합특별시 광산구 수완동","1***","12m미만","50.00","월세","202510","24","500","50","2015","수완로10번길","202510~202604","갱신","-","500","47","단독다가구"
"2583","전남광주통합특별시 동구 산수동","5**","8m미만","86.93","전세","202510","24","2,000","0","","무등로449번길","202510~202610","갱신","-","2,000","0","단독다가구"
"2584","전남광주통합특별시 순천시 해룡면 상삼리","6**","12m미만","104.58","월세","202510","24","2,000","60","1997","신흥중2길","202510~202710","신규","-","","","단독다가구"
"2585","전남광주통합특별시 광산구 신창동","1***","12m미만","39.66","월세","202510","24","500","50","2012","신창로162번길","202510~202610","신규","-","","","단독다가구"
"2586","전남광주통합특별시 목포시 상동","8**","12m미만","24.00","월세","202510","24","100","27","2003","백년대로307번길","202510~202610","신규","-","","","단독다가구"
"2587","전남광주통합특별시 광산구 수완동","1***","12m미만","45.00","월세","202510","24","500","55","2012","수완로52번길","202510~202610","신규","-","","","단독다가구"
"2588","전남광주통합특별시 북구 양산동","7**","12m미만","16.16","월세","202510","24","200","32","2011","양산택지로51번길","202510~202604","신규","-","","","단독다가구"
"2589","전남광주통합특별시 북구 일곡동","8**","12m미만","60.00","월세","202510","24","500","35","1999","양일로343번길","202511~202711","신규","-","","","단독다가구"
"2590","전남광주통합특별시 여수시 화양면 용주리","4**","8m미만","67.00","월세","202510","24","1,000","50","1992","용주길","202510~202710","신규","-","","","단독다가구"
"2591","전남광주통합특별시 북구 일곡동","8**","12m미만","109.00","전세","202510","24","18,000","0","2017","일곡마을로152번길","202510~202610","갱신","-","15,000","35","단독다가구"
"2592","전남광주통합특별시 남구 봉선동","2**","12m미만","76.00","월세","202510","24","5,000","25","2012","봉선1로","202510~202710","갱신","-","4,000","30","단독다가구"
"2593","전남광주통합특별시 북구 일곡동","8**","12m미만","60.00","월세","202510","24","500","35","1999","양일로343번길","202511~202711","신규","-","","","단독다가구"
"2594","전남광주통합특별시 광산구 신창동","1***","12m미만","42.25","월세","202510","24","100","50","2013","신창로162번길","202510~202512","신규","-","","","단독다가구"
"2595","전남광주통합특별시 남구 백운동","6**","12m미만","24.89","월세","202510","24","300","41","2021","백양로17번길","202510~202610","신규","-","","","단독다가구"
"2596","전남광주통합특별시 강진군 칠량면 봉황리","1**","8m미만","91.74","월세","202510","24","1,500","40","2010","보련봉황길","202511~202710","신규","-","","","단독다가구"
"2597","전남광주통합특별시 북구 운암동","9*","12m미만","56.00","월세","202510","24","500","45","1990","북문대로49번길","202511~202605","신규","-","","","단독다가구"
"2598","전남광주통합특별시 광산구 수완동","1***","12m미만","26.72","월세","202510","24","300","30","2013","수완로74번길","202510~202610","신규","-","","","단독다가구"
"2599","전남광주통합특별시 광산구 하남동","7**","12m미만","33.00","월세","202510","24","300","37","2012","용아로399번길","202511~202611","신규","-","","","단독다가구"
"2600","전남광주통합특별시 광산구 월계동","7**","12m미만","35.00","월세","202510","24","200","35","2003","첨단내촌로11번길","-","-","-","","","단독다가구"
"2601","전남광주통합특별시 남구 월산동","9**","12m미만","73.40","월세","202510","24","778","21","2007","군분로119번길","202510~202712","신규","-","","","단독다가구"
"2602","전남광주통합특별시 동구 계림동","1***","8m미만","76.36","전세","202510","24","7,500","0","","필문대로","202601~202801","갱신","-","7,500","5","단독다가구"
"2603","전남광주통합특별시 여수시 선원동","1***","25m미만","35.00","전세","202510","24","5,000","0","2014","무선6길","202510~202710","신규","-","","","단독다가구"
"2604","전남광주통합특별시 서구 금호동","8**","25m미만","80.00","월세","202510","24","500","50","2010","화개중앙로4번길","202510~202610","신규","-","","","단독다가구"
"2605","전남광주통합특별시 순천시 오천동","9**","25m미만","55.28","월세","202510","24","1,000","60","2019","오천6길","202511~202711","신규","-","","","단독다가구"
"2606","전남광주통합특별시 나주시 송월동","1***","12m미만","25.08","월세","202510","24","300","48","2023","송월10길","202510~202610","신규","-","","","단독다가구"
"2607","전남광주통합특별시 나주시 송월동","1***","8m미만","132.43","월세","202510","24","500","40","1988","신내동길","202511~202711","신규","-","","","단독다가구"
"2608","전남광주통합특별시 나주시 송월동","1***","8m미만","16.56","월세","202510","24","2,000","20","2022","송월16길","202511~202611","신규","-","","","단독다가구"
"2609","전남광주통합특별시 서구 쌍촌동","1***","12m미만","54.00","월세","202510","24","500","40","1995","화정로39번길","202511~202711","신규","-","","","단독다가구"
"2610","전남광주통합특별시 서구 쌍촌동","1***","8m미만","66.00","월세","202510","24","500","37","1992","쌍촌로27번길","202511~202710","신규","-","","","단독다가구"
"2611","전남광주통합특별시 서구 쌍촌동","1**","-","18.91","월세","202510","24","300","34","2023","상무대로955번길","202510~202610","신규","-","","","단독다가구"
"2612","전남광주통합특별시 서구 내방동","3**","12m미만","46.92","월세","202510","24","300","46","2021","월드컵4강로198번길","202510~202610","신규","-","","","단독다가구"
"2613","전남광주통합특별시 여수시 동산동","*","8m미만","42.12","월세","202510","24","200","35","","동산9길","202510~202610","신규","-","","","단독다가구"
"2614","전남광주통합특별시 서구 쌍촌동","1***","12m미만","22.67","월세","202510","24","400","60","2021","운천로184번길","202510~202610","신규","-","","","단독다가구"
"2615","전남광주통합특별시 순천시 조례동","1***","12m미만","23.50","월세","202510","24","300","35","2018","유동길","202510~202610","신규","-","","","단독다가구"
"2616","전남광주통합특별시 서구 풍암동","9**","12m미만","38.00","전세","202510","24","4,000","0","","풍암운리로37번길","202510~202710","신규","-","","","단독다가구"
"2617","전남광주통합특별시 서구 풍암동","1***","12m미만","119.46","월세","202510","24","5,000","50","2001","풍암중앙로82번길","202510~202710","신규","-","","","단독다가구"
"2618","전남광주통합특별시 순천시 왕지동","8*","8m미만","126.90","월세","202510","24","3,000","80","2012","왕지로","202510~202710","신규","-","","","단독다가구"
"2619","전남광주통합특별시 순천시 오천동","9**","12m미만","246.30","월세","202510","24","500","53","2017","오천2길","202511~202711","신규","-","","","단독다가구"
"2620","전남광주통합특별시 여수시 화장동","8**","25m미만","50.00","월세","202510","23","300","50","2020","대통로","202510~202610","신규","-","","","단독다가구"
"2621","전남광주통합특별시 나주시 송월동","1***","12m미만","22.80","월세","202510","23","200","30","2014","송월6길","202510~202610","신규","-","","","단독다가구"
"2622","전남광주통합특별시 여수시 학동","1**","12m미만","29.00","월세","202510","23","100","30","2002","시청서2길","202510~202610","신규","-","","","단독다가구"
"2623","전남광주통합특별시 나주시 산정동","1*","8m미만","119.08","전세","202510","23","9,000","0","1982","박정길","202512~203012","신규","-","","","단독다가구"
"2624","전남광주통합특별시 서구 풍암동","1***","12m미만","25.00","월세","202510","23","300","35","2018","풍암2로53번길","202510~202610","신규","-","","","단독다가구"
"2625","전남광주통합특별시 서구 금호동","7**","12m미만","23.70","월세","202510","23","100","29","2002","금화로85번길","202510~202610","신규","-","","","단독다가구"
"2626","전남광주통합특별시 서구 금호동","7**","25m미만","75.18","월세","202510","23","500","57","2000","금화로85번길","202510~202604","신규","-","","","단독다가구"
"2627","전남광주통합특별시 나주시 송월동","1***","8m미만","25.00","월세","202510","23","200","37","2014","송월12길","202510~202610","신규","-","","","단독다가구"
"2628","전남광주통합특별시 서구 쌍촌동","9**","12m미만","21.53","월세","202510","23","9,500","10","2021","쌍촌로65번길","202511~202711","신규","-","","","단독다가구"
"2629","전남광주통합특별시 서구 쌍촌동","9**","12m미만","28.30","월세","202510","23","200","34","2010","쌍촌로65번길","202510~202610","신규","-","","","단독다가구"
"2630","전남광주통합특별시 서구 화정동","7**","8m미만","145.17","전세","202510","23","3,300","0","1984","화운로142번길","202510~202710","신규","-","","","단독다가구"
"2631","전남광주통합특별시 순천시 조례동","7**","8m미만","28.00","월세","202510","23","200","40","2017","비봉2길","202511~202610","신규","-","","","단독다가구"
"2632","전남광주통합특별시 서구 화정동","7*","25m미만","49.00","월세","202510","23","300","50","2010","화운로","202510~202610","신규","-","","","단독다가구"
"2633","전남광주통합특별시 순천시 오천동","9**","12m미만","35.76","월세","202510","23","500","50","2022","오천3길","202510~202610","신규","-","","","단독다가구"
"2634","전남광주통합특별시 순천시 조례동","1***","12m미만","26.40","월세","202510","23","300","50","2022","남신월4길","202510~202610","신규","-","","","단독다가구"
"2635","전남광주통합특별시 목포시 산정동","1***","8m미만","132.96","월세","202510","23","200","15","1982","동명들목로54번길","202511~202711","신규","-","","","단독다가구"
"2636","전남광주통합특별시 북구 용봉동","1***","12m미만","33.00","월세","202510","23","200","30","2017","설죽로217번길","-","-","-","","","단독다가구"
"2637","전남광주통합특별시 남구 백운동","5**","12m미만","32.79","월세","202510","23","300","49","2018","백운로25번길","202510~202610","신규","-","","","단독다가구"
"2638","전남광주통합특별시 남구 진월동","5**","8m미만","18.91","월세","202510","23","200","43","2022","효덕로300번길","202511~202610","신규","-","","","단독다가구"
"2639","전남광주통합특별시 여수시 돌산읍 우두리","1***","25m미만","58.89","월세","202510","23","5,000","25","2022","강남동로","202510~202710","신규","-","","","단독다가구"
"2640","전남광주통합특별시 여수시 돌산읍 우두리","1***","25m미만","49.00","전세","202510","23","6,000","0","2017","강남1길","202510~202710","신규","-","","","단독다가구"
"2641","전남광주통합특별시 남구 양림동","9*","8m미만","73.92","전세","202510","23","15,000","0","","3·1만세운동길","202511~202711","신규","-","","","단독다가구"
"2642","전남광주통합특별시 남구 양림동","9*","8m미만","73.92","전세","202510","23","15,000","0","1972","3·1만세운동길","202601~202801","신규","-","","","단독다가구"
"2643","전남광주통합특별시 광산구 하남동","1***","25m미만","28.14","월세","202510","23","300","57","2023","마항길","202510~202610","신규","-","","","단독다가구"
"2644","전남광주통합특별시 서구 농성동","6**","12m미만","30.21","월세","202510","23","200","35","2014","경열로66번길","202510~202606","신규","-","","","단독다가구"
"2645","전남광주통합특별시 순천시 해룡면 신대리","2***","25m이상","52.80","월세","202510","23","300","62","2012","해광로","202511~202610","신규","-","","","단독다가구"
"2646","전남광주통합특별시 목포시 상동","8**","12m미만","38.00","월세","202510","23","100","27","2012","백년대로297번길","202510~202610","신규","-","","","단독다가구"
"2647","전남광주통합특별시 목포시 상동","3*","8m미만","36.00","월세","202510","23","300","40","2017","백년대로307번길","202510~202701","신규","-","","","단독다가구"
"2648","전남광주통합특별시 북구 문흥동","7**","12m미만","32.00","월세","202510","23","300","46","2018","우치로110번길","202511~202610","신규","-","","","단독다가구"
"2649","전남광주통합특별시 광양시 중동","1***","12m미만","43.00","월세","202510","23","200","30","2011","세동길","202510~202610","신규","-","","","단독다가구"
"2650","전남광주통합특별시 담양군 봉산면 신학리","1**","8m미만","54.10","전세","202510","23","9,000","0","","신학길","202510~202710","신규","-","","","단독다가구"
"2651","전남광주통합특별시 동구 계림동","5**","8m미만","25.00","월세","202510","23","300","45","2008","중흥로213번길","202510~202610","신규","-","","","단독다가구"
"2652","전남광주통합특별시 동구 산수동","5**","8m미만","150.48","월세","202510","23","200","30","2013","필문대로","202510~202610","신규","-","","","단독다가구"
"2653","전남광주통합특별시 영광군 영광읍 신하리","8**","12m미만","34.74","월세","202510","23","300","38","2016","대하길3길","202511~202611","신규","-","","","단독다가구"
"2654","전남광주통합특별시 목포시 산정동","1***","8m미만","14.87","전세","202510","23","1,000","0","1970","산대로","202511~202611","신규","-","","","단독다가구"
"2655","전남광주통합특별시 광산구 오선동","6**","25m미만","42.60","월세","202510","23","500","57","2021","진곡산단2번로","202511~202610","신규","-","","","단독다가구"
"2656","전남광주통합특별시 북구 오치동","8**","12m미만","161.77","월세","202510","23","1,000","45","1996","안산로","202511~202710","신규","-","","","단독다가구"
"2657","전남광주통합특별시 광산구 우산동","1***","12m미만","50.18","월세","202510","23","300","35","1989","사암로","202510~202710","신규","-","","","단독다가구"
"2658","전남광주통합특별시 광산구 신창동","1***","12m미만","26.32","월세","202510","23","200","30","2008","신창로48번길","202510~202610","신규","-","","","단독다가구"
"2659","전남광주통합특별시 광산구 신창동","1***","12m미만","23.14","월세","202510","23","100","25","2011","신창로105번길","202510~202610","신규","-","","","단독다가구"
